student_id,course_id,enrollment_date,cohort,completion_pct,status,total_duration,session_count,avg_quiz_score,quiz_attempts
S0001,C005,2024-01-03,A,87.6,completed,216,4,85.55,1
S0001,C003,2024-01-20,C,59.51,in_progress,49,1,43.79,1
S0002,C001,2024-01-20,B,43.91,in_progress,177,2,43.52,3
S0002,C002,2024-01-14,B,54.43,in_progress,114,1,59.76,3
S0003,C005,2024-01-08,B,57.01,in_progress,309,4,65.66666666666667,3
S0003,C003,2024-01-05,C,59.61,in_progress,350,4,63.376666666666665,3
S0004,C002,2024-01-26,C,83.35,in_progress,65,1,86.64999999999999,3
S0004,C005,2024-01-15,C,67.48,in_progress,190,2,72.19666666666666,3
S0004,C003,2024-01-22,A,88.55,completed,137,2,85.77666666666669,3
S0005,C002,2024-01-05,C,62.71,in_progress,110,3,60.60666666666666,3
S0005,C001,2024-01-27,A,88.73,completed,290,4,100.0,1
S0006,C001,2024-01-25,B,91.04,completed,87,1,87.19,3
S0006,C004,2024-01-01,A,90.36,completed,234,3,84.92333333333333,3
S0007,C003,2024-01-15,B,89.03,completed,96,1,92.98,1
S0007,C001,2024-01-11,B,86.83,completed,69,1,83.92,1
S0007,C004,2024-01-23,B,74.1,in_progress,192,3,76.33,2
S0008,C002,2024-01-27,A,69.93,in_progress,179,2,59.35333333333333,3
S0008,C003,2024-01-04,B,71.8,in_progress,73,1,66.88333333333334,3
S0009,C005,2024-01-01,A,58.12,in_progress,112,1,73.89,1
S0010,C005,2024-01-03,A,80.58,in_progress,272,4,84.12333333333333,3
S0010,C003,2024-01-07,A,45.69,in_progress,224,4,39.735,2
S0011,C003,2024-01-26,B,68.8,in_progress,52,2,72.4,1
S0011,C004,2024-01-11,A,93.97,completed,64,1,86.96666666666665,3
S0011,C005,2024-01-14,B,68.1,in_progress,38,1,74.66,2
S0012,C005,2024-01-09,A,71.6,in_progress,144,3,70.565,2
S0012,C003,2024-01-24,A,64.6,in_progress,255,4,65.95666666666666,3
S0012,C001,2024-01-28,A,62.02,in_progress,233,3,64.695,2
S0013,C001,2024-01-03,A,79.53,in_progress,218,3,79.16499999999999,2
S0013,C005,2024-01-10,B,94.01,completed,85,1,98.75666666666666,3
S0013,C003,2024-01-08,B,48.63,in_progress,40,1,48.20666666666667,3
S0014,C005,2024-01-10,C,78.67,in_progress,198,4,77.82,3
S0014,C001,2024-01-28,B,69.09,in_progress,396,4,65.77,1
S0014,C003,2024-01-11,B,18.7,dropped,21,1,14.86,1
S0015,C003,2024-01-04,C,71.29,in_progress,150,2,64.9,2
S0015,C002,2024-01-13,A,95.61,completed,168,2,84.45,3
S0015,C001,2024-01-17,B,55.02,in_progress,137,2,64.535,2
S0016,C002,2024-01-08,C,79.53,in_progress,246,4,87.49000000000001,2
S0016,C004,2024-01-09,B,81.72,in_progress,175,2,77.58333333333333,3
S0017,C002,2024-01-11,A,98.02,completed,240,4,100.0,1
S0018,C005,2024-01-10,A,82.08,in_progress,354,4,80.91,1
S0018,C002,2024-01-11,B,71.04,in_progress,216,3,70.12666666666667,3
S0019,C001,2024-01-02,A,63.76,in_progress,213,4,59.92,1
S0020,C002,2024-01-27,C,61.24,in_progress,241,3,65.67,3
S0020,C003,2024-01-21,A,91.25,completed,52,1,91.24,1
S0020,C001,2024-01-30,C,61.23,in_progress,106,1,64.16,1
S0021,C003,2024-01-02,B,91.98,completed,149,3,89.60666666666667,3
S0021,C002,2024-01-01,B,72.99,in_progress,185,2,68.64,2
S0021,C001,2024-01-11,A,59.46,in_progress,164,3,73.76,1
S0022,C002,2024-01-15,C,67.3,in_progress,57,1,67.015,2
S0023,C005,2024-01-17,C,80.77,in_progress,221,3,84.65,1
S0023,C001,2024-01-17,C,76.53,in_progress,45,1,70.70333333333333,3
S0024,C003,2024-01-30,A,59.37,in_progress,295,4,55.46666666666667,3
S0025,C005,2024-01-29,B,78.18,in_progress,72,1,93.11,1
S0025,C003,2024-01-26,B,79.9,in_progress,141,4,87.64500000000001,2
S0026,C001,2024-01-16,B,79.24,in_progress,253,4,73.04,1
S0026,C005,2024-01-15,C,59.98,in_progress,239,3,46.58,2
S0027,C002,2024-01-25,B,64.56,in_progress,100,2,58.46,2
S0027,C005,2024-01-25,A,32.04,in_progress,202,2,25.613333333333333,3
S0028,C005,2024-01-27,A,97.42,completed,74,1,100.0,1
S0028,C004,2024-01-11,B,81.54,in_progress,112,1,89.21000000000001,2
S0028,C003,2024-01-27,C,57.43,in_progress,25,1,34.08,1
S0029,C001,2024-01-02,C,77.99,in_progress,281,3,75.91499999999999,2
S0029,C002,2024-01-24,C,79.3,in_progress,75,1,70.045,2
S0030,C001,2024-01-07,C,86.46,completed,210,2,88.64666666666666,3
S0031,C002,2024-01-01,A,54.53,in_progress,132,2,74.0,1
S0032,C002,2024-01-02,A,39.74,in_progress,324,3,41.335,2
S0032,C004,2024-01-03,B,74.29,in_progress,129,2,75.78666666666668,3
S0032,C003,2024-01-10,C,29.13,in_progress,145,3,43.32,1
S0033,C004,2024-01-19,B,59.57,in_progress,295,3,65.62,1
S0033,C005,2024-01-16,C,63.1,in_progress,49,1,29.38,1
S0033,C003,2024-01-03,A,49.87,in_progress,99,2,50.699999999999996,3
S0034,C005,2024-01-11,A,84.74,in_progress,156,3,83.92,1
S0034,C004,2024-01-10,C,73.45,in_progress,55,2,67.44,1
S0034,C002,2024-01-16,B,91.81,completed,85,2,78.09,2
S0035,C004,2024-01-12,C,74.58,in_progress,245,4,84.59333333333333,3
S0036,C003,2024-01-16,C,98.63,completed,287,4,78.11,1
S0036,C005,2024-01-12,A,82.02,in_progress,211,4,81.12333333333333,3
S0037,C002,2024-01-08,A,80.57,in_progress,209,3,65.15,1
